START: pt. 17 lip 2026 10:58:46 CEST
00:00.254  blend            | Read blend: "/Users/kacpermioduszewski/mioduszewsky-com/assets/logo3d/fur.blend"
19:15.984  render           | Fra: 4 | Mem: 1198M | Updating Scene BVH | Building BVH 0%
19:16.234  render           | Fra: 4 | Mem: 1279M | Updating Scene BVH | Building BVH 5%
19:16.484  render           | Fra: 4 | Mem: 1571M | Updating Scene BVH | Building BVH 22%
19:16.734  render           | Fra: 4 | Mem: 1845M | Updating Scene BVH | Building BVH 39%
19:16.984  render           | Fra: 4 | Mem: 2127M | Updating Scene BVH | Building BVH 55%
19:17.239  render           | Fra: 4 | Mem: 2317M | Updating Scene BVH | Building BVH 66%
19:17.489  render           | Fra: 4 | Mem: 2517M | Updating Scene BVH | Building BVH 78%
19:17.739  render           | Fra: 4 | Mem: 2801M | Updating Scene BVH | Building BVH 94%
19:17.840  render           | Fra: 4 | Mem: 2905M | Updating Scene BVH | Copying BVH to device
19:17.840  render           | Fra: 4 | Mem: 2905M | Updating Mesh | Computing normals
19:17.841  render           | Fra: 4 | Mem: 2905M | Updating Mesh | Copying Mesh to device
19:17.841  render           | Fra: 4 | Mem: 2908M | Updating Mesh | Copying Curves to device
19:17.942  render           | Fra: 4 | Mem: 3422M | Updating Objects Flags
19:17.942  render           | Fra: 4 | Mem: 3422M | Updating Primitive Offsets
19:17.942  render           | Fra: 4 | Mem: 3422M | Updating Images
19:17.942  render           | Fra: 4 | Mem: 3422M | Updating Volume
19:17.942  render           | Fra: 4 | Mem: 3422M | Updating Camera Volume
19:17.942  render           | Fra: 4 | Mem: 3422M | Updating Lookup Tables
19:17.942  render           | Fra: 4 | Mem: 3422M | Updating Lights
19:17.942  render           | Fra: 4 | Mem: 3422M | Updating Lights | Computing tree
19:17.942  render           | Fra: 4 | Mem: 3422M | Updating Integrator
19:17.943  render           | Fra: 4 | Mem: 3423M | Updating Film
19:17.943  render           | Fra: 4 | Mem: 3423M | Updating Lookup Tables
19:17.943  render           | Fra: 4 | Mem: 3423M | Updating Baking
19:17.943  render           | Fra: 4 | Mem: 3423M | Updating Device | Writing constant memory
19:17.943  render           | Fra: 4 | Mem: 3423M | Sample 0/256
19:19.715  render           | Fra: 4 | Remaining: 07:31.93 | Mem: 3459M | Sample 1/256
19:45.890  render           | Fra: 4 | Remaining: 06:32.90 | Mem: 3459M | Sample 17/256
20:11.799  render           | Fra: 4 | Remaining: 06:03.93 | Mem: 3459M | Sample 33/256
20:37.732  render           | Fra: 4 | Remaining: 05:37.06 | Mem: 3459M | Sample 49/256
21:03.850  render           | Fra: 4 | Remaining: 05:11.20 | Mem: 3459M | Sample 65/256
